

Here are the 16 flight plans:

BOS | SEA | AA | 1 (ORD) | 06:00 | 11:30 | 450.00
BOS | SEA | UA | 2 (EWR, SFO) | 08:00 | 14:45 | 520.00
BOS | SEA | DL | 0 | 10:00 | 17:15 | 380.00
BOS | SEA | WN | 1 (MDW) | 12:00 | 19:30 | 420.00
BOS | SEA | AS | 1 (PDX) | 14:00 | 21:45 | 480.00
BOS | SEA | B6 | 2 (JFK, LAX) | 16:00 | 00:15 | 550.00
BOS | SEA | F9 | 1 (DEN) | 18:00 | 02:30 | 400.00
BOS | SEA | NK | 2 (MCO, LAX) | 20:00 | 04:45 | 500.00
SEA | BOS | AA | 1 (DFW) | 06:00 | 17:30 | 420.00
SEA | BOS | UA | 2 (SFO, IAD) | 08:00 | 20:45 | 520.00
SEA | BOS | DL | 0 | 10:00 | 21:15 | 380.00
SEA | BOS | WN | 1 (PHX) | 12:00 | 00:30 | 450.00
SEA | BOS | AS | 1 (PDX) | 14:00 | 03:45 | 480.00
SEA | BOS | B6 | 2 (LAX, JFK) | 16:00 | 07:15 | 550.00
SEA | BOS | F9 | 1 (DEN) | 18:00 | 09:30 | 400.00
SEA | BOS | NK | 2 (LAX, MCO) | 20:00 | 11:45 | 500.00


Here are the 16 flight plans:

BOS | DEN | AA | 0 | 08:00 | 11:30 | 350.00
BOS | DEN | UA | 1 (ORD) | 09:15 | 13:45 | 420.00
BOS | DEN | WN | 0 | 10:30 | 14:00 | 280.00
BOS | DEN | DL | 1 (ATL) | 11:45 | 16:15 | 450.00
BOS | DEN | F9 | 0 | 13:00 | 16:30 | 240.00
BOS | DEN | AA | 1 (DFW) | 14:15 | 18:45 | 480.00
BOS | DEN | UA | 0 | 15:30 | 19:00 | 300.00
BOS | DEN | WN | 1 (MDW) | 16:45 | 21:15 | 380.00
DEN | BOS | UA | 0 | 08:00 | 14:30 | 320.00
DEN | BOS | AA | 1 (CLT) | 09:15 | 16:45 | 440.00
DEN | BOS | WN | 0 | 10:30 | 17:00 | 260.00
DEN | BOS | DL | 1 (MSP) | 11:45 | 19:15 | 460.00
DEN | BOS | F9 | 0 | 13:00 | 19:30 | 220.00
DEN | BOS | AA | 1 (PHX) | 14:15 | 21:45 | 500.00
DEN | BOS | UA | 0 | 15:30 | 22:00 | 340.00
DEN | BOS | WN | 1 (STL) | 16:45 | 00:15 | 400.00


Here are the 16 flight plans:

BOS | BNA | AA | 0 | 06:00 | 09:15 | 248.50
