

Here are the 16 flight plans:

CLT | BOS | American Airlines | Non-stop | 06:00 | 09:05 | 250.00
CLT | BOS | Delta Air Lines | 1 stop (ATL) | 08:30 | 12:45 | 320.00
CLT | BOS | United Airlines | Non-stop | 10:15 | 13:20 | 280.00
CLT | BOS | JetBlue Airways | Non-stop | 12:00 | 15:05 | 220.00
CLT | BOS | Spirit Airlines | 1 stop (EWR) | 14:00 | 18:15 | 240.00
CLT | BOS | Frontier Airlines | 1 stop (MCO) | 16:30 | 21:45 | 260.00
CLT | BOS | Southwest Airlines | Non-stop | 18:45 | 22:00 | 300.00
CLT | BOS | Alaska Airlines | 1 stop (ORD) | 20:00 | 00:15 | 330.00

BOS | CLT | American Airlines | Non-stop | 07:00 | 10:05 | 230.00
BOS | CLT | Delta Air Lines | 1 stop (LGA) | 09:30 | 14:45 | 290.00
BOS | CLT | United Airlines | Non-stop | 11:15 | 14:20 | 250.00
BOS | CLT | JetBlue Airways | Non-stop | 13:00 | 16:05 | 210.00
BOS | CLT | Spirit Airlines | 1 stop (PIT) | 15:00 | 19:15 | 270.00
BOS | CLT | Frontier Airlines | 1 stop (TPA) | 17:30 | 22:45 | 290.00
BOS | CLT | Southwest Airlines | Non-stop | 19:45 | 23:00 | 310.00
BOS | CLT | Alaska Airlines | 1 stop (DEN) | 21:00 | 01:15 | 350.00


Here are the 16 flight plans:

CLT | SEA | AA | 1 (DFW) | 08:00 | 11:30 | 425.00
CLT | SEA | UA | 0 | 10:30 | 14:05 | 550.00
CLT | SEA | DL | 1 (ATL) | 12:00 | 16:45 | 480.00
CLT | SEA | WN | 1 (DEN) | 14:30 | 19:15 | 450.00
CLT | SEA | AS | 0 | 16:00 | 20:35 | 520.00
CLT | SEA | B6 | 1 (JFK) | 18:30 | 23:55 | 500.00
CLT | SEA | F9 | 1 (MCO) | 20:00 | 01:20 | 380.00
CLT | SEA | NK | 1 (ORD) | 21:30 | 02:55 | 420.00
SEA | CLT | AA | 1 (PHX) | 08:30 | 17:05 | 460.00
SEA | CLT | UA | 0 | 11:00 | 19:35 | 580.00
SEA | CLT | DL | 1 (SFO) | 13:30 | 22:05 | 510.00
SEA | CLT | WN | 1 (LAS) | 15:00 | 23:30 | 440.00
SEA | CLT | AS | 0 | 17:30 | 01:05 | 540.00
SEA | CLT | B6 | 1 (BOS) | 19:30 | 03:55 | 490.00
SEA | CLT | F9 | 1 (IAH) | 21:00 | 05:20 | 400.00
SEA | CLT | NK | 1 (MIA) | 22:30 | 06:55 | 480.00


Here are the 16 flight plans:

