

ORD | IAH | United | 0 | 08:00 | 11:15 | 250.00
ORD | IAH | American | 1 (DFW) | 09:30 | 13:45 | 270.00
ORD | IAH | Delta | 0 | 11:45 | 15:00 | 220.00
ORD | IAH | Spirit | 1 (MDW) | 13:15 | 17:30 | 200.00
ORD | IAH | Frontier | 0 | 15:00 | 18:15 | 240.00
ORD | IAH | Southwest | 1 (STL) | 16:30 | 20:45 | 290.00
ORD | IAH | JetBlue | 0 | 18:00 | 21:15 | 260.00
ORD | IAH | Alaska | 1 (DEN) | 19:45 | 23:59 | 280.00
IAH | ORD | United | 0 | 08:30 | 11:45 | 230.00
IAH | ORD | American | 1 (CLT) | 10:15 | 14:30 | 250.00
IAH | ORD | Delta | 0 | 12:00 | 15:15 | 210.00
IAH | ORD | Spirit | 1 (BNA) | 13:45 | 17:00 | 190.00
IAH | ORD | Frontier | 0 | 15:30 | 18:45 | 220.00
IAH | ORD | Southwest | 1 (DAL) | 17:00 | 20:15 | 260.00
IAH | ORD | JetBlue | 0 | 18:45 | 22:00 | 240.00
IAH | ORD | Alaska | 1 (SFO) | 20:15 | 23:30 | 270.00


ORD | PHL | AA | 0 | 06:00 | 08:15 | 198.00
ORD | PHL | UA | 1 (EWR) | 07:30 | 10:45 | 220.00
ORD | PHL | DL | 0 | 09:15 | 11:30 | 235.00
ORD | PHL | WN | 1 (MDW) | 10:00 | 13:15 | 208.00
ORD | PHL | AS | 1 (BWI) | 11:45 | 14:55 | 242.00
ORD | PHL | F9 | 0 | 13:30 | 15:45 | 188.00
ORD | PHL | NK | 1 (DTW) | 14:15 | 17:25 | 225.00
ORD | PHL | B6 | 0 | 16:00 | 18:15 | 210.00
PHL | ORD | AA | 0 | 06:30 | 08:40 | 205.00
PHL | ORD | UA | 1 (IAD) | 08:00 | 11:10 | 230.00
PHL | ORD | DL | 0 | 09:45 | 12:00 | 240.00
PHL | ORD | WN | 1 (PIT) | 11:15 | 14:25 | 215.00
PHL | ORD | AS | 1 (CLE) | 12:50 | 15:55 | 245.00
PHL | ORD | F9 | 0 | 14:20 | 16:35 | 190.00
PHL | ORD | NK | 1 (CMH) | 15:45 | 18:50 | 220.00
PHL | ORD | B6 | 0 | 17:10 | 19:25 | 225.00


ORD | SFO | American Airlines | 0 | 08:00 | 10:30 | 250.00
ORD | SFO | United Airlines | 1 (DEN) | 09:00 | 12:15 | 320.00
ORD | SFO | Delta Air Lines | 0 | 10:30 | 13:00 | 280.00
ORD | SFO | Southwest Airlines | 1 (PHX) | 11:00 | 14:30 | 300.00
ORD | SFO | Alaska Airlines | 0 | 12:00 | 14:30 | 260.00
ORD | SFO | Spirit Airlines | 1 (LAS) | 13:00 | 16:15 | 290.00
ORD | SFO | Frontier Airlines | 1 (MSP) | 14:00 | 17:30 | 310.00
ORD | SFO | JetBlue Airways | 0 | 15:00 | 17:30 | 270.00
SFO | ORD | American Airlines | 0 | 08:00 | 14:30 | 240.00
SFO | ORD | United Airlines | 1 (IAH) | 09:00 | 16:15 | 330.00
SFO | ORD | Delta Air Lines | 0 | 10:30 | 16:00 | 290.00
SFO | ORD | Southwest Airlines | 1 (DAL) | 11:00 | 17:30 | 320.00
SFO | ORD | Alaska Airlines | 0 | 12:00 | 17:00 | 250.00
SFO | ORD | Spirit Airlines | 1 (ATL) | 13:00 | 19:15 | 300.00
SFO | ORD | Frontier Airlines | 1 (DEN) | 14:00 | 20:30 | 340.00
SFO | ORD | JetBlue Airways | 0 | 15:00 | 20:00 | 280.00


Here are the 16 flight plans:

ORD | CLT | American Airlines | Non-stop | 06:00 | 09:15 | 198.00
ORD | CLT | United Airlines | 1 stop (EWR) | 08:30 | 12:45 | 235.00
ORD | CLT | Delta Air Lines | Non-stop | 10:45 | 14:00 | 220.00
ORD | CLT | Spirit Airlines | 1 stop (MDW) | 12:15 | 16:30 | 189.00
ORD | CLT | Frontier Airlines | Non-stop | 14:00 | 17:15 | 199.00
ORD | CLT | Alaska Airlines | 1 stop (DEN) | 15:30 | 20:45 | 259.00
ORD | CLT | JetBlue Airways | Non-stop | 17:00 | 20:15 | 229.00
ORD | CLT | Southwest Airlines | 1 stop (STL) | 19:15 | 23:30 | 249.00
CLT | ORD | American Airlines | Non-stop | 06:30 | 08:45 | 208.00
CLT | ORD | United Airlines | 1 stop (IAD) | 08:00 | 12:15 | 242.00
CLT | ORD | Delta Air Lines | Non-stop | 10:00 | 12:15 | 230.00
CLT | ORD | Spirit Airlines | 1 stop (BWI) | 11:45 | 15:00 | 204.00
CLT | ORD | Frontier Airlines | Non-stop | 13:15 | 15:30 | 219.00
CLT | ORD | Alaska Airlines | 1 stop (SFO) | 14:30 | 19:45 | 269.00
CLT | ORD | JetBlue Airways | Non-stop | 16:00 | 18:15 | 239.00
CLT | ORD | Southwest Airlines | 1 stop (ATL) | 18:30 | 22:45 | 259.00


ORD | BOS | AA | Non-stop | 06:00 | 09:15 | 248.00
ORD | BOS | UA | 1 stop (EWR) | 07:30 | 11:45 | 298.00
ORD | BOS | DL | Non-stop | 08:15 | 11:30 | 268.00
ORD | BOS | WN | 1 stop (MDW) | 09:00 | 13:15 | 238.00
ORD | BOS | AS | Non-stop | 10:45 | 14:00 | 288.00
ORD | BOS | F9 | 1 stop (DEN) | 11:30 | 16:45 | 218.00
ORD | BOS | NK | Non-stop | 12:15 | 15:30 | 258.00
ORD | BOS | B6 | 1 stop (JFK) | 13:00 | 17:15 | 278.00
BOS | ORD | AA | Non-stop | 06:30 | 08:45 | 228.00
BOS | ORD | UA | 1 stop (IAD) | 07:45 | 11:00 | 308.00
BOS | ORD | DL | Non-stop | 09:00 | 11:15 | 248.00
BOS | ORD | WN | 1 stop (BWI) | 10:15 | 13:30 | 208.00
BOS | ORD | AS | Non-stop | 11:30 | 13:45 | 268.00
BOS | ORD | F9 | 1 stop (ATL) | 12:45 | 16:00 | 238.00
BOS | ORD | NK | Non-stop | 13:45 | 16:00 | 288.00
BOS | ORD | B6 | 1 stop (MCO) | 14:30 | 18:45 | 298.00


Here are the 16 flight plans:

ORD | SEA | AA | 0 | 08:00 | 10:30 | 250.00
ORD | SEA | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
ORD | SEA | DL | 0 | 10:45 | 13:15 | 280.00
ORD | SEA | WN | 1 (PHX) | 12:00 | 15:30 | 300.00
ORD | SEA | AS | 0 | 13:30 | 16:00 | 290.00
ORD | SEA | F9 | 1 (MKE) | 14:45 | 18:15 | 350.00
ORD | SEA | NK | 1 (LAS) | 16:00 | 19:30 | 380.00
ORD | SEA | B6 | 0 | 17:15 | 19:45 | 310.00
SEA | ORD | AA | 0 | 08:00 | 13:30 | 260.00
SEA | ORD | UA | 1 (SFO) | 09:15 | 15:45 | 330.00
SEA | ORD | DL | 0 | 10:45 | 16:15 | 290.00
SEA | ORD | WN | 1 (DAL) | 12:00 | 18:30 | 320.00
SEA | ORD | AS | 0 | 13:30 | 19:00 | 300.00
SEA | ORD | F9 | 1 (MCI) | 14:45 | 21:15 | 360.00
SEA | ORD | NK | 1 (ORD) | 16:00 | 22:30 | 400.00
SEA | ORD | B6 | 0 | 17:15 | 23:45 | 330.00


Here are the 16 flight plans:

ORD | DEN | UA | Non-stop | 06:00 | 07:45 | 198.00
ORD | DEN | AA | Non-stop | 08:30 | 10:15 | 220.00
ORD | DEN | WN | 1 (MDW) | 10:00 | 12:30 | 240.00
ORD | DEN | DL | Non-stop | 12:00 | 13:45 | 200.00
ORD | DEN | F9 | Non-stop | 14:30 | 16:15 | 180.00
ORD | DEN | UA | 1 (IAH) | 16:00 | 18:45 | 280.00
ORD | DEN | AA | 1 (DFW) | 18:30 | 21:15 | 300.00
ORD | DEN | WN | Non-stop | 20:00 | 21:45 | 260.00
DEN | ORD | UA | Non-stop | 06:30 | 10:15 | 210.00
DEN | ORD | AA | Non-stop | 08:00 | 11:45 | 230.00
DEN | ORD | WN | 1 (STL) | 10:30 | 13:15 | 250.00
DEN | ORD | DL | Non-stop | 12:30 | 15:15 | 220.00
DEN | ORD | F9 | Non-stop | 14:00 | 16:45 | 190.00
DEN | ORD | UA | 1 (SFO) | 16:30 | 19:15 | 290.00
DEN | ORD | AA | 1 (ORD) | 18:00 | 20:45 | 310.00
DEN | ORD | WN | Non-stop | 20:30 | 22:15 | 270.00


ORD | BNA | American Airlines | Non-stop | 06:00 | 08:05 | 198.00
ORD | BNA | United Airlines | 1 stop (DTW) | 08:30 | 11:45 | 225.00
ORD | BNA | Delta Air Lines | Non-stop | 10:15 | 12:20 | 210.00
ORD | BNA | Spirit Airlines | 1 stop (MDW) | 12:00 | 15:15 | 185.00
ORD | BNA | Frontier Airlines | Non-stop | 14:30 | 16:35 | 195.00
ORD | BNA | Alaska Airlines | 1 stop (DEN) | 16:00 | 19:15 | 240.00
ORD | BNA | JetBlue Airways | Non-stop | 18:15 | 20:20 | 220.00
ORD | BNA | Southwest Airlines | 1 stop (STL) | 20:00 | 23:15 | 205.00
BNA | ORD | American Airlines | Non-stop | 06:30 | 08:35 | 208.00
BNA | ORD | United Airlines | 1 stop (IAH) | 09:00 | 12:15 | 235.00
BNA | ORD | Delta Air Lines | Non-stop | 11:45 | 13:50 | 225.00
BNA | ORD | Spirit Airlines | 1 stop (DFW) | 13:30 | 16:45 | 200.00
BNA | ORD | Frontier Airlines | Non-stop | 15:15 | 17:20 | 215.00
BNA | ORD | Alaska Airlines | 1 stop (SFO) | 17:00 | 20:15 | 250.00
BNA | ORD | JetBlue Airways | Non-stop | 19:30 | 21:35 | 230.00
BNA | ORD | Southwest Airlines | 1 stop (ATL) | 21:15 | 00:30 | 220.00


Here are the 16 flight plans:

ORD | IAD | American Airlines | Non-stop | 06:00 | 08:35 | 198.00
ORD | IAD | United Airlines | Non-stop | 07:30 | 10:05 | 220.00
ORD | IAD | Delta Air Lines | 1 stop (DTW) | 08:15 | 12:40 | 280.00
ORD | IAD | Spirit Airlines | 1 stop (BWI) | 09:00 | 13:25 | 240.00
ORD | IAD | Frontier Airlines | Non-stop | 10:45 | 13:20 | 190.00
ORD | IAD | Southwest Airlines | 1 stop (STL) | 11:30 | 15:55 | 260.00
ORD | IAD | JetBlue Airways | Non-stop | 12:15 | 14:50 | 230.00
ORD | IAD | Alaska Airlines | 1 stop (PIT) | 13:00 | 16:25 | 290.00
IAD | ORD | American Airlines | Non-stop | 06:30 | 08:05 | 210.00
IAD | ORD | United Airlines | 1 stop (EWR) | 07:45 | 11:10 | 250.00
IAD | ORD | Delta Air Lines | Non-stop | 09:00 | 10:35 | 240.00
IAD | ORD | Spirit Airlines | 1 stop (CLE) | 10:15 | 13:40 | 270.00
IAD | ORD | Frontier Airlines | Non-stop | 11:30 | 13:05 | 200.00
IAD | ORD | Southwest Airlines | 1 stop (BNA) | 12:45 | 16:10 | 280.00
IAD | ORD | JetBlue Airways | 1 stop (BOS) | 13:15 | 16:40 | 300.00
IAD | ORD | Alaska Airlines | Non-stop | 14:00 | 15:35 | 260.00


ORD | DCA | AA | 0 | 06:00 | 08:30 | 250.00
ORD | DCA | UA | 0 | 08:00 | 10:30 | 220.00
ORD | DCA | DL | 1 (BWI) | 09:00 | 12:30 | 280.00
ORD | DCA | WN | 0 | 10:00 | 12:30 | 200.00
ORD | DCA | AA | 1 (PIT) | 11:00 | 14:30 | 300.00
ORD | DCA | UA | 0 | 12:00 | 14:30 | 240.00
ORD | DCA | DL | 0 | 13:00 | 15:30 | 260.00
ORD | DCA | WN | 1 (MDW) | 14:00 | 17:30 | 320.00
DCA | ORD | AA | 0 | 06:00 | 07:30 | 230.00
DCA | ORD | UA | 0 | 08:00 | 09:30 | 210.00
DCA | ORD | DL | 1 (EWR) | 09:00 | 12:00 | 290.00
DCA | ORD | WN | 0 | 10:00 | 11:30 | 190.00
DCA | ORD | AA | 1 (CLE) | 11:00 | 14:00 | 310.00
DCA | ORD | UA | 0 | 12:00 | 13:30 | 250.00
DCA | ORD | DL | 0 | 13:00 | 14:30 | 270.00
DCA | ORD | WN | 1 (PIT) | 14:00 | 17:00 | 330.00
DCA | ORD | AA | 0 | 15:00 | 16:30 | 240.00


ORD | MIA | American Airlines | Non-stop | 06:00 | 09:30 | 250.00
ORD | MIA | Delta Air Lines | 1 stop (ATL) | 07:15 | 11:45 | 220.00
ORD | MIA | United Airlines | Non-stop | 08:30 | 12:00 | 280.00
ORD | MIA | Spirit Airlines | 1 stop (FLL) | 09:45 | 14:15 | 190.00
ORD | MIA | JetBlue Airways | Non-stop | 11:00 | 14:30 | 240.00
ORD | MIA | Frontier Airlines | 1 stop (TPA) | 12:15 | 16:45 | 210.00
ORD | MIA | Southwest Airlines | Non-stop | 13:30 | 17:00 | 260.00
ORD | MIA | Alaska Airlines | 1 stop (DEN) | 14:45 | 19:15 | 230.00
MIA | ORD | American Airlines | Non-stop | 06:00 | 08:30 | 270.00
MIA | ORD | Delta Air Lines | 1 stop (BNA) | 07:15 | 11:45 | 240.00
MIA | ORD | United Airlines | Non-stop | 08:30 | 11:00 | 290.00
MIA | ORD | Spirit Airlines | 1 stop (PIT) | 09:45 | 14:15 | 200.00
MIA | ORD | JetBlue Airways | Non-stop | 11:00 | 13:30 | 250.00
MIA | ORD | Frontier Airlines | 1 stop (CLT) | 12:15 | 16:45 | 220.00
MIA | ORD | Southwest Airlines | Non-stop | 13:30 | 16:00 | 280.00
MIA | ORD | Alaska Airlines | 1 stop (IAH) | 14:45 | 19:15 | 260.00


Here are the 16 flight plans:

ORD | LAS | AA | 0 | 06:00 | 08:30 | 250.00
ORD | LAS | UA | 1 (DEN) | 08:15 | 11:45 | 320.00
ORD | LAS | WN | 0 | 10:30 | 13:00 | 280.00
ORD | LAS | DL | 1 (MSP) | 12:45 | 16:15 | 350.00
ORD | LAS | AS | 0 | 15:00 | 17:30 | 300.00
ORD | LAS | F9 | 1 (IAH) | 17:15 | 20:45 | 290.00
ORD | LAS | NK | 0 | 19:30 | 22:00 | 260.00
ORD | LAS | B6 | 1 (DFW) | 21:45 | 01:15 | 330.00

LAS | ORD | AA | 0 | 06:30 | 11:00 | 270.00
LAS | ORD | UA | 1 (SFO) | 08:45 | 14:15 | 340.00
LAS | ORD | WN | 0 | 11:00 | 15:30 | 290.00
LAS | ORD | DL | 1 (ATL) | 13:15 | 18:45 | 360.00
LAS | ORD | AS | 0 | 15:30 | 19:00 | 310.00
LAS | ORD | F9 | 1 (MCO) | 17:45 | 22:15 | 300.00
LAS | ORD | NK | 0 | 20:00 | 23:30 | 280.00
LAS | ORD | B6 | 1 (JFK) | 22:15 | 02:45 | 350.00


ORD | MSY | American Airlines | 0 | 08:00 | 10:30 | 198.00
ORD | MSY | United Airlines | 1 (IAH) | 09:30 | 12:45 | 220.00
ORD | MSY | Delta Air Lines | 0 | 11:00 | 13:30 | 240.00
