

Here are the 16 flight plans:

DEN | BNA | United | Non-stop | 06:00 | 10:30 | 350.00
DEN | BNA | American | 1 stop (DFW) | 07:30 | 12:15 | 420.00
DEN | BNA | Delta | Non-stop | 08:00 | 12:30 | 380.00
DEN | BNA | Southwest | 1 stop (STL) | 09:00 | 13:45 | 450.00
DEN | BNA | Frontier | Non-stop | 10:00 | 14:30 | 320.00
DEN | BNA | Spirit | 1 stop (ORD) | 11:30 | 16:15 | 400.00
DEN | BNA | Alaska | Non-stop | 12:30 | 17:00 | 390.00
DEN | BNA | JetBlue | 1 stop (JFK) | 14:00 | 18:45 | 480.00

BNA | DEN | United | Non-stop | 06:30 | 08:15 | 370.00
BNA | DEN | American | 1 stop (CLT) | 07:00 | 10:45 | 440.00
BNA | DEN | Delta | Non-stop | 08:30 | 11:15 | 410.00
BNA | DEN | Southwest | 1 stop (DAL) | 09:30 | 12:45 | 460.00
BNA | DEN | Frontier | Non-stop | 10:30 | 13:15 | 330.00
BNA | DEN | Spirit | 1 stop (LAS) | 11:30 | 14:45 | 430.00
BNA | DEN | Alaska | Non-stop | 12:30 | 15:15 | 400.00
BNA | DEN | JetBlue | 1 stop (SFO) | 14:30 | 17:45 | 500.00


DEN | IAD | United | 0 | 06:00 | 12:30 | 250.00
DEN | IAD | American | 1 (ORD) | 07:30 | 14:45 | 320.00
DEN | IAD | Delta | 0 | 08:15 | 14:50 | 280.00
DEN | IAD | Southwest | 1 (STL) | 09:00 | 16:20 | 300.00
DEN | IAD | Frontier | 0 | 10:45 | 17:10 | 220.00
DEN | IAD | JetBlue | 1 (BOS) | 11:30 | 18:00 | 350.00
DEN | IAD | Spirit | 1 (DFW) | 12:15 | 19:30 | 280.00
DEN | IAD | Alaska | 0 | 13:00 | 19:40 | 290.00
IAD | DEN | United | 0 | 06:30 | 09:00 | 230.00
IAD | DEN | American | 1 (CLT) | 07:00 | 11:20 | 310.00
IAD | DEN | Delta | 0 | 08:00 | 11:30 | 260.00
IAD | DEN | Southwest | 1 (MDW) | 09:30 | 13:50 | 330.00
IAD | DEN | Frontier | 0 | 10:15 | 13:40 | 240.00
IAD | DEN | JetBlue | 1 (JFK) | 11:00 | 15:20 | 360.00
