

Here are the 16 flight plans:

IAH | PHL | United | Non-stop | 06:00 | 10:05 | 258.00
IAH | PHL | American | 1 stop (CLT) | 07:30 | 12:20 | 298.50
IAH | PHL | Delta | Non-stop | 08:15 | 12:30 | 220.00
IAH | PHL | Spirit | 1 stop (FLL) | 09:00 | 14:40 | 198.00
IAH | PHL | Frontier | Non-stop | 10:45 | 15:00 | 238.00
IAH | PHL | JetBlue | 1 stop (BOS) | 12:00 | 17:10 | 268.00
IAH | PHL | Southwest | Non-stop | 13:30 | 17:45 | 248.00
IAH | PHL | Alaska | 1 stop (SFO) | 15:00 | 20:20 | 308.50
PHL | IAH | United | Non-stop | 06:30 | 09:20 | 240.00
PHL | IAH | American | 1 stop (DFW) | 07:45 | 11:50 | 280.00
PHL | IAH | Delta | Non-stop | 09:00 | 11:55 | 220.00
PHL | IAH | Spirit | 1 stop (ATL) | 10:30 | 14:45 | 208.00
PHL | IAH | Frontier | Non-stop | 12:15 | 15:20 | 228.00
PHL | IAH | JetBlue | 1 stop (MCO) | 13:45 | 17:55 | 258.00
PHL | IAH | Southwest | Non-stop | 15:00 | 18:05 | 238.00
PHL | IAH | Alaska | 1 stop (LAX) | 16:30 | 21:40 | 318.50


Here are the 16 flight plans:

IAH | SFO | United | Non-stop | 08:00 | 10:30 | 350.00
IAH | SFO | American | 1 stop (DEN) | 09:15 | 12:45 | 420.00
IAH | SFO | Delta | Non-stop | 10:30 | 13:00 | 380.00
IAH | SFO | Southwest | 1 stop (PHX) | 11:45 | 15:15 | 450.00
IAH | SFO | Alaska | Non-stop | 13:00 | 15:30 | 320.00
IAH | SFO | JetBlue | 1 stop (LAX) | 14:15 | 17:45 | 400.00
IAH | SFO | Spirit | 1 stop (LAS) | 15:30 | 19:00 | 480.00
IAH | SFO | Frontier | Non-stop | 16:45 | 19:15 | 300.00

SFO | IAH | United | Non-stop | 08:30 | 13:00 | 320.00
SFO | IAH | American | 1 stop (ORD) | 09:45 | 15:15 | 440.00
SFO | IAH | Delta | Non-stop | 11:00 | 15:30 | 360.00
SFO | IAH | Southwest | 1 stop (SAN) | 12:15 | 16:45 | 420.00
SFO | IAH | Alaska | Non-stop | 13:30 | 17:00 | 340.00
SFO | IAH | JetBlue | 1 stop (MIA) | 14:45 | 19:15 | 460.00
SFO | IAH | Spirit | 1 stop (DFW) | 15:55 | 20:25 | 500.00
SFO | IAH | Frontier | Non-stop | 17:10 | 20:40 | 280.00


Here are the 16 flight plans:

IAH | CLT | American Airlines | Non-stop | 06:00 | 10:05 | 278.00
IAH | CLT | Delta Air Lines | 1 stop (ATL) | 07:30 | 12:15 | 312.50
IAH | CLT | United Airlines | Non-stop | 08:15 | 12:20 | 299.00
IAH | CLT | Spirit Airlines | 1 stop (FLL) | 09:00 | 14:30 | 239.00
IAH | CLT | Frontier Airlines | 1 stop (DEN) | 10:30 | 15:45 | 269.00
IAH | CLT | Southwest Airlines | Non-stop | 11:45 | 15:55 | 289.00
IAH | CLT | JetBlue Airways | 1 stop (BOS) | 13:00 | 17:20 | 309.50
IAH | CLT | Alaska Airlines | 1 stop (SEA) | 14:15 | 18:35 | 329.00
CLT | IAH | American Airlines | Non-stop | 06:30 | 08:35 | 258.00
CLT | IAH | Delta Air Lines | 1 stop (MEM) | 07:45 | 11:00 | 292.50
CLT | IAH | United Airlines | Non-stop | 09:00 | 11:05 | 279.00
CLT | IAH | Spirit Airlines | 1 stop (LAX) | 10:15 | 13:40 | 249.00
CLT | IAH | Frontier Airlines | 1 stop (MCO) | 11:30 | 14:55 | 279.50
CLT | IAH | Southwest Airlines | Non-stop | 12:45 | 15:00 | 299.00
CLT | IAH | JetBlue Airways | 1 stop (JFK) | 14:00 | 17:25 | 319.00
