

Here are the 16 flight plans:

LAS | MSY | AA | 0 | 08:00 | 13:15 | 275.00
LAS | MSY | UA | 1 (DEN) | 09:30 | 16:45 | 325.00
LAS | MSY | WN | 0 | 10:15 | 15:30 | 295.00
LAS | MSY | DL | 1 (ATL) | 11:00 | 17:20 | 345.00
LAS | MSY | AS | 0 | 12:45 | 18:00 | 315.00
LAS | MSY | F9 | 1 (IAH) | 14:15 | 20:30 | 305.00
LAS | MSY | NK | 0 | 15:30 | 20:45 | 285.00
LAS | MSY | B6 | 1 (LAX) | 16:45 | 22:00 | 330.00

MSY | LAS | AA | 0 | 08:15 | 10:30 | 260.00
MSY | LAS | UA | 1 (IAH) | 09:45 | 12:00 | 310.00
MSY | LAS | WN | 0 | 11:20 | 13:35 | 280.00
MSY | LAS | DL | 1 (ATL) | 12:50 | 15:05 | 320.00
MSY | LAS | AS | 0 | 14:25 | 16:40 | 300.00
MSY | LAS | F9 | 1 (DEN) | 15:55 | 18:10 | 290.00
MSY | LAS | NK | 0 | 17:30 | 19:45 | 270.00
MSY | LAS | B6 | 1 (LAX) | 18:55 | 21:10 | 305.00


Here are the 16 flight plans:

LAS | MCO | AA | Non-stop | 08:00 | 14:30 | 250.00
LAS | MCO | UA | 1 stop (DEN) | 09:15 | 16:45 | 280.00
LAS | MCO | WN | Non-stop | 10:30 | 17:00 | 220.00
LAS | MCO | DL | 1 stop (ATL) | 11:45 | 18:15 | 300.00
LAS | MCO | AS | Non-stop | 13:00 | 19:30 | 240.00
LAS | MCO | B6 | 1 stop (FLL) | 14:15 | 20:45 | 260.00
LAS | MCO | NK | Non-stop | 15:30 | 21:00 | 230.00
LAS | MCO | F9 | 1 stop (PHX) | 16:45 | 22:15 | 290.00
MCO | LAS | AA | Non-stop | 08:00 | 09:30 | 270.00
MCO | LAS | UA | 1 stop (IAH) | 09:15 | 11:45 | 310.00
MCO | LAS | WN | Non-stop | 10:30 | 12:00 | 240.00
MCO | LAS | DL | 1 stop (SFO) | 11:45 | 14:15 | 330.00
MCO | LAS | AS | Non-stop | 13:00 | 14:30 | 260.00
MCO | LAS | B6 | 1 stop (JFK) | 14:15 | 16:45 | 300.00
MCO | LAS | NK | Non-stop | 15:30 | 17:00 | 250.00
