

Here are the 16 flight plans:

LAX | ORD | American Airlines | Non-stop | 08:00 | 14:35 | 425.00
LAX | ORD | United Airlines | 1 stop (DEN) | 09:15 | 16:50 | 395.00
LAX | ORD | Delta Air Lines | Non-stop | 10:30 | 17:05 | 475.00
LAX | ORD | Southwest Airlines | 1 stop (PHX) | 11:45 | 19:20 | 355.00
LAX | ORD | Alaska Airlines | Non-stop | 13:00 | 19:35 | 445.00
LAX | ORD | JetBlue Airways | 1 stop (JFK) | 14:15 | 21:50 | 405.00
LAX | ORD | Spirit Airlines | 1 stop (LAS) | 15:30 | 22:55 | 325.00
LAX | ORD | Frontier Airlines | 1 stop (MCO) | 16:45 | 00:20 | 375.00

ORD | LAX | American Airlines | Non-stop | 08:00 | 10:35 | 450.00
ORD | LAX | United Airlines | 1 stop (SFO) | 09:15 | 12:50 | 420.00
ORD | LAX | Delta Air Lines | Non-stop | 10:30 | 13:05 | 500.00
ORD | LAX | Southwest Airlines | 1 stop (DAL) | 11:45 | 15:20 | 380.00
ORD | LAX | Alaska Airlines | Non-stop | 13:00 | 15:35 | 460.00
ORD | LAX | JetBlue Airways | 1 stop (BOS) | 14:15 | 17:50 | 430.00
ORD | LAX | Spirit Airlines | 1 stop (DFW) | 15:30 | 18:55 | 350.00
ORD | LAX | Frontier Airlines | 1 stop (IAH) | 16:45 | 20:20 | 390.00


Here are the 16 flight plans:

LAX | MDW | American Airlines | Non-stop | 08:00 | 14:30 | 275.00
LAX | MDW | United Airlines | 1 stop (DEN) | 09:15 | 16:45 | 325.00
LAX | MDW | Delta Air Lines | Non-stop | 10:30 | 17:00 | 300.00
LAX | MDW | Southwest Airlines | 1 stop (PHX) | 11:45 | 19:15 | 350.00
LAX | MDW | Alaska Airlines | Non-stop | 13:00 | 19:30 | 320.00
LAX | MDW | JetBlue Airways | 1 stop (LAS) | 14:15 | 21:45 | 375.00
LAX | MDW | Spirit Airlines | 1 stop (DFW) | 15:30 | 22:59 | 290.00
LAX | MDW | Frontier Airlines | Non-stop | 16:45 | 23:15 | 310.00
MDW | LAX | American Airlines | Non-stop | 07:00 | 09:30 | 280.00
MDW | LAX | United Airlines | 1 stop (IAH) | 08:15 | 12:45 | 330.00
MDW | LAX | Delta Air Lines | Non-stop | 09:30 | 12:00 | 295.00
MDW | LAX | Southwest Airlines | 1 stop (STL) | 10:45 | 15:15 | 360.00
MDW | LAX | Alaska Airlines | Non-stop | 12:00 | 14:30 | 315.00
MDW | LAX | JetBlue Airways | 1 stop (MCO) | 13:15 | 17:45 | 390.00
MDW | LAX | Spirit Airlines | 1 stop (ORD) | 14:30 | 19:59 | 305.00
MDW | LAX | Frontier Airlines | Non-stop | 15:45 | 18:15 | 325.00


Here are the 16 flight plans:

LAX | IAH | American Airlines | Non-stop | 08:00 | 12:30 | 345.00
LAX | IAH | United Airlines | 1 stop (DEN) | 09:15 | 14:50 | 395.00
LAX | IAH | Delta Air Lines | Non-stop | 10:30 | 15:00 | 325.00
LAX | IAH | Spirit Airlines | 1 stop (LAS) | 11:45 | 17:20 | 275.00
LAX | IAH | Alaska Airlines | Non-stop | 13:00 | 17:30 | 355.00
LAX | IAH | JetBlue Airways | 1 stop (SFO) | 14:15 | 19:45 | 315.00
LAX | IAH | Frontier Airlines | 1 stop (PHX) | 15:30 | 21:00 | 245.00
LAX | IAH | Southwest Airlines | Non-stop | 16:45 | 21:15 | 335.00
IAH | LAX | American Airlines | Non-stop | 07:00 | 08:30 | 345.00
IAH | LAX | United Airlines | 1 stop (SFO) | 08:15 | 12:45 | 395.00
IAH | LAX | Delta Air Lines | Non-stop | 09:30 | 11:00 | 325.00
IAH | LAX | Spirit Airlines | 1 stop (HOU) | 10:45 | 15:20 | 275.00
IAH | LAX | Alaska Airlines | Non-stop | 12:00 | 13:30 | 355.00
IAH | LAX | JetBlue Airways | 1 stop (DEN) | 13:15 | 17:45 | 315.00
IAH | LAX | Frontier Airlines | 1 stop (DAL) | 14:30 | 19:00 | 245.00
IAH | LAX | Southwest Airlines | Non-stop | 15:45 | 17:15 | 335.00


Here are the 16 flight plans:

LAX | PHL | American Airlines | Non-stop | 08:00 | 17:30 | 425.00
LAX | PHL | Delta Air Lines | 1 stop (ATL) | 09:15 | 19:45 | 450.00
LAX | PHL | United Airlines | Non-stop | 10:30 | 20:00 | 480.00
LAX | PHL | Southwest Airlines | 1 stop (DEN) | 11:45 | 21:15 | 395.00
LAX | PHL | Alaska Airlines | 1 stop (SEA) | 13:00 | 22:30 | 410.00
LAX | PHL | JetBlue Airways | Non-stop | 14:15 | 23:45 | 440.00
LAX | PHL | Spirit Airlines | 1 stop (LAS) | 15:30 | 01:00 | 365.00
LAX | PHL | Frontier Airlines | 1 stop (MIA) | 16:45 | 02:15 | 380.00

PHL | LAX | American Airlines | Non-stop | 06:00 | 09:30 | 400.00
PHL | LAX | Delta Air Lines | 1 stop (SFO) | 07:15 | 11:45 | 420.00
PHL | LAX | United Airlines | Non-stop | 08:30 | 12:00 | 450.00
PHL | LAX | Southwest Airlines | 1 stop (STL) | 09:45 | 14:15 | 380.00
PHL | LAX | Alaska Airlines | 1 stop (PDX) | 11:00 | 15:30 | 395.00
PHL | LAX | JetBlue Airways | Non-stop | 12:15 | 16:45 | 420.00
