

Here are the 16 flight plans:

MIA | LAS | AA | 0 | 08:00 | 10:30 | 280.00
MIA | LAS | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
MIA | LAS | WN | 0 | 10:30 | 13:00 | 250.00
MIA | LAS | DL | 1 (ATL) | 11:45 | 15:15 | 380.00
MIA | LAS | AS | 0 | 13:00 | 15:30 | 300.00
MIA | LAS | F9 | 1 (DEN) | 14:15 | 17:45 | 350.00
MIA | LAS | B6 | 0 | 15:30 | 18:00 | 270.00
MIA | LAS | NK | 1 (IAH) | 16:45 | 20:15 | 330.00
LAS | MIA | AA | 0 | 08:00 | 14:30 | 280.00
LAS | MIA | UA | 1 (SFO) | 09:15 | 16:45 | 350.00
LAS | MIA | WN | 0 | 10:30 | 17:00 | 250.00
LAS | MIA | DL | 1 (LAX) | 11:45 | 19:15 | 400.00
LAS | MIA | AS | 0 | 13:00 | 19:30 | 320.00
LAS | MIA | F9 | 1 (PHX) | 14:15 | 21:45 | 370.00
LAS | MIA | B6 | 0 | 15:30 | 22:00 | 290.00
LAS | MIA | NK | 1 (ORD) | 16:45 | 00:15 | 360.00


Here are the 16 flight plans:

MIA | MSY | AA | 0 | 06:00 | 07:30 | 150.00
MIA | MSY | UA | 1 (ATL) | 08:15 | 11:45 | 220.00
MIA | MSY | DL | 0 | 09:30 | 11:00 | 180.00
MIA | MSY | WN | 1 (TPA) | 10:45 | 13:15 | 200.00
MIA | MSY | B6 | 0 | 12:00 | 13:30 | 160.00
MIA | MSY | AS | 1 (FLL) | 13:15 | 15:45 | 240.00
MIA | MSY | F9 | 1 (JAX) | 14:30 | 16:55 | 210.00
MIA | MSY | NK | 0 | 16:00 | 17:30 | 190.00
MSY | MIA | AA | 0 | 07:00 | 08:30 | 140.00
MSY | MIA | UA | 1 (IAH) | 08:45 | 11:15 | 230.00
MSY | MIA | DL | 0 | 10:00 | 11:30 | 170.00
MSY | MIA | WN | 1 (HOU) | 11:15 | 13:45 | 200.00
MSY | MIA | B6 | 0 | 12:30 | 14:00 | 150.00
MSY | MIA | AS | 1 (PBI) | 13:45 | 16:15 | 250.00
MSY | MIA | F9 | 1 (BHM) | 15:00 | 17:25 | 220.00
MSY | MIA | NK | 0 | 16:30 | 18:00 | 180.00


Here are the 16 flight plans:

MIA | MCO | American Airlines | Non-stop | 06:00 | 07:15 | 150.00
MIA | MCO | Delta Air Lines | 1 stop (ATL) | 08:30 | 11:45 | 220.00
MIA | MCO | United Airlines | Non-stop | 10:00 | 11:20 | 180.00
MIA | MCO | Spirit Airlines | 1 stop (FLL) | 12:15 | 15:30 | 200.00
MIA | MCO | JetBlue Airways | Non-stop | 14:00 | 15:25 | 190.00
MIA | MCO | Frontier Airlines | 1 stop (TPA) | 16:30 | 20:45 | 230.00
MIA | MCO | Southwest Airlines | Non-stop | 18:00 | 19:25 | 210.00
MIA | MCO | Alaska Airlines | 1 stop (PBI) | 20:15 | 23:30 | 240.00

MCO | MIA | American Airlines | Non-stop | 07:00 | 08:15 | 160.00
MCO | MIA | Delta Air Lines | 1 stop (JAX) | 09:30 | 12:45 | 250.00
MCO | MIA | United Airlines | Non-stop | 11:00 | 12:20 | 200.00
MCO | MIA | Spirit Airlines | 1 stop (RSW) | 13:15 | 16:30 | 220.00
MCO | MIA | JetBlue Airways | Non-stop | 15:00 | 16:25 | 210.00
MCO | MIA | Frontier Airlines | 1 stop (SFB) | 17:30 | 21:45 | 260.00
MCO | MIA | Southwest Airlines | Non-stop | 19:00 | 20:25 | 230.00
MCO | MIA | Alaska Airlines | 1 stop (EYW) | 21:15 | 00:30 | 280.00


Here are the 16 flight plans:

MIA | TPA | AA | 0 | 06:00 | 07:30 | 120.00
MIA | TPA | DL | 1 (ATL) | 08:15 | 11:45 | 180.00
MIA | TPA | UA | 0 | 09:30 | 11:00 | 150.00
MIA | TPA | WN | 1 (FLL) | 10:45 | 13:15 | 220.00
MIA | TPA | B6 | 0 | 12:00 | 13:30 | 130.00
MIA | TPA | AS | 1 (PBI) | 13:15 | 16:45 | 200.00
MIA | TPA | NK | 0 | 14:30 | 16:00 | 140.00
MIA | TPA | F9 | 1 (RSW) | 15:45 | 18:15 | 240.00
TPA | MIA | AA | 0 | 07:00 | 08:30 | 120.00
TPA | MIA | DL | 1 (JAX) | 09:15 | 12:45 | 190.00
TPA | MIA | UA | 0 | 10:30 | 12:00 | 160.00
TPA | MIA | WN | 1 (PBI) | 11:45 | 14:15 | 230.00
TPA | MIA | B6 | 0 | 13:00 | 14:30 | 140.00
TPA | MIA | AS | 1 (FLL) | 14:15 | 17:45 | 210.00
TPA | MIA | NK | 0 | 15:30 | 17:00 | 150.00
TPA | MIA | F9 | 1 (RSW) | 16:45 | 19:15 | 260.00


Here are the 16 flight plans:

MIA | ANC | AA | 1 (DFW) | 08:00 | 14:30 | 542.00
MIA | ANC | UA | 2 (ORD, SFO) | 09:30 | 19:15 | 620.00
MIA | ANC | DL | 1 (ATL) | 10:15 | 16:45 | 580.00
MIA | ANC | WN | 2 (BNA, DEN) | 11:00 | 20:30 | 650.00
MIA | ANC | AS | 1 (SEA) | 12:30 | 19:00 | 590.00
MIA | ANC | B6 | 2 (JFK, PDX) | 13:45 | 22:15 | 680.00
MIA | ANC | F9 | 1 (DEN) | 14:50 | 21:20 | 610.00
MIA | ANC | NK | 2 (FLL, LAX) | 16:00 | 23:45 | 700.00
ANC | MIA | AA | 1 (PHX) | 08:30 | 18:15 | 520.00
