

Here are the 16 flight plans:

BNA | IAD | AA | Non-stop | 06:00 | 08:35 | 248.00
BNA | IAD | UA | 1 stop (EWR) | 07:15 | 10:50 | 278.00
BNA | IAD | DL | Non-stop | 08:30 | 11:05 | 298.00
BNA | IAD | WN | 1 stop (MDW) | 09:45 | 13:20 | 258.00
BNA | IAD | AS | Non-stop | 11:00 | 13:35 | 268.00
BNA | IAD | F9 | 1 stop (ATL) | 12:15 | 15:40 | 238.00
BNA | IAD | NK | 1 stop (FLL) | 13:30 | 16:55 | 228.00
BNA | IAD | B6 | Non-stop | 14:45 | 17:20 | 288.00

IAD | BNA | AA | Non-stop | 06:00 | 07:35 | 258.00
IAD | BNA | UA | 1 stop (ORD) | 07:15 | 10:40 | 298.00
IAD | BNA | DL | Non-stop | 08:30 | 10:05 | 318.00
IAD | BNA | WN | 1 stop (BWI) | 09:45 | 12:20 | 268.00
IAD | BNA | AS | Non-stop | 11:00 | 12:35 | 288.00
IAD | BNA | F9 | 1 stop (CLT) | 12:15 | 14:40 | 248.00
IAD | BNA | NK | 1 stop (MCO) | 13:30 | 15:55 | 238.00
IAD | BNA | B6 | Non-stop | 14:45 | 16:20 | 308.00


Here are the 16 flight plans:

BNA | DCA | American Airlines | Non-stop | 06:00 | 08:30 | 250.00
BNA | DCA | Delta Air Lines | 1 stop (ATL) | 07:30 | 11:15 | 280.00
BNA | DCA | United Airlines | Non-stop | 09:00 | 11:30 | 220.00
BNA | DCA | Spirit Airlines | 1 stop (FLL) | 10:30 | 14:45 | 200.00
BNA | DCA | Southwest Airlines | Non-stop | 12:00 | 14:30 | 240.00
BNA | DCA | JetBlue Airways | 1 stop (BOS) | 13:30 | 17:15 | 260.00
BNA | DCA | Frontier Airlines | 1 stop (DEN) | 15:00 | 20:30 | 230.00
BNA | DCA | Alaska Airlines | Non-stop | 16:30 | 19:00 | 270.00
DCA | BNA | American Airlines | Non-stop | 06:30 | 08:00 | 240.00
DCA | BNA | Delta Air Lines | 1 stop (CLT) | 08:00 | 12:15 | 290.00
DCA | BNA | United Airlines | Non-stop | 09:30 | 11:30 | 210.00
DCA | BNA | Spirit Airlines | 1 stop (MCO) | 11:00 | 15:45 | 190.00
DCA | BNA | Southwest Airlines | Non-stop | 12:30 | 14:30 | 250.00
DCA | BNA | JetBlue Airways | 1 stop (JFK) | 14:00 | 18:15 | 280.00
DCA | BNA | Frontier Airlines | 1 stop (ORD) | 15:30 | 20:45 | 220.00
DCA | BNA | Alaska Airlines | Non-stop | 17:00 | 19:00 | 260.00


Here are the 16 flight plans:

BNA | MIA | AA | 0 | 06:00 | 09:15 | 250.00
BNA | MIA | DL | 1 (ATL) | 08:30 | 12:45 | 320.00
BNA | MIA | WN | 0 | 10:15 | 13:30 | 220.00
BNA | MIA | UA | 1 (IAH) | 12:00 | 16:20 | 380.00
BNA | MIA | F9 | 0 | 14:45 | 18:00 | 280.00
BNA | MIA | AS | 1 (CLT) | 16:30 | 20:50 | 350.00
BNA | MIA | B6 | 0 | 18:15 | 21:30 | 240.00
BNA | MIA | NK | 1 (FLL) | 20:00 | 23:20 | 300.00

MIA | BNA | AA | 0 | 06:30 | 09:45 | 260.00
MIA | BNA | DL | 1 (ATL) | 08:00 | 12:15 | 340.00
MIA | BNA | WN | 0 | 10:45 | 14:00 | 230.00
MIA | BNA | UA | 1 (IAH) | 12:30 | 16:50 | 400.00
MIA | BNA | F9 | 0 | 15:15 | 18:30 | 290.00
MIA | BNA | AS | 1 (CLT) | 17:00 | 21:20 | 360.00
MIA | BNA | B6 | 0 | 19:30 | 22:45 | 250.00
MIA | BNA | NK | 1 (FLL) | 21:15 | 00:35 | 330.00


Here are the 16 flight plans:

BNA | LAS | AA | 0 | 08:00 | 10:30 | 250.00
BNA | LAS | UA | 1 (DEN) | 09:30 | 12:15 | 320.00
BNA | LAS | WN | 0 | 11:00 | 13:30 | 220.00
BNA | LAS | DL | 1 (ATL) | 12:30 | 15:45 | 350.00
BNA | LAS | AS | 0 | 14:00 | 16:30 | 280.00
BNA | LAS | F9 | 1 (IAH) | 15:30 | 18:45 | 300.00
BNA | LAS | NK | 0 | 17:00 | 19:30 | 240.00
BNA | LAS | B6 | 1 (JFK) | 18:30 | 21:45 | 330.00

LAS | BNA | AA | 0 | 08:30 | 14:00 | 270.00
LAS | BNA | UA | 1 (SFO) | 09:00 | 15:30 | 340.00
LAS | BNA | WN | 0 | 10:30 | 16:00 | 230.00
LAS | BNA | DL | 1 (MSP) | 11:30 | 17:45 | 360.00
LAS | BNA | AS | 0 | 13:00 | 18:30 | 290.00
LAS | BNA | F9 | 1 (DAL) | 14:30 | 19:45 | 310.00
LAS | BNA | NK | 0 | 16:00 | 20:30 | 260.00
LAS | BNA | B6 | 1 (BOS) | 17:30 | 22:45 | 350.00


Here are the 16 flight plans:

BNA | MSY | AA | 0 | 06:00 | 07:45 | 198.00
BNA | MSY | DL | 1 (ATL) | 07:30 | 10:15 | 229.00
BNA | MSY | WN | 0 | 08:15 | 09:50 | 189.00
BNA | MSY | UA | 1 (IAH) | 09:00 | 11:40 | 249.00
BNA | MSY | F9 | 0 | 10:30 | 12:05 | 169.00
BNA | MSY | AA | 1 (CLT) | 11:45 | 14:20 | 239.00
BNA | MSY | NK | 0 | 13:00 | 14:35 | 179.00
BNA | MSY | DL | 1 (MCO) | 14:30 | 17:05 | 259.00
MSY | BNA | WN | 0 | 06:30 | 08:05 | 199.00
MSY | BNA | UA | 1 (EWR) | 07:15 | 10:00 | 269.00
MSY | BNA | AA | 0 | 08:45 | 10:20 | 219.00
MSY | BNA | F9 | 1 (DEN) | 09:30 | 12:10 | 289.00
MSY | BNA | DL | 0 | 11:00 | 12:35 | 229.00
MSY | BNA | NK | 1 (FLL) | 12:15 | 14:50 | 299.00
MSY | BNA | AA | 1 (DFW) | 13:45 | 16:20 | 249.00
MSY | BNA | WN | 0 | 15:00 | 16:35 | 209.00


Here are the 16 flight plans:

BNA | MCO | American Airlines | Non-stop | 06:00 | 08:45 | 198.00
BNA | MCO | Delta Air Lines | 1 stop (ATL) | 08:30 | 12:15 | 220.00
BNA | MCO | United Airlines | Non-stop | 10:00 | 12:20 | 240.00
BNA | MCO | Spirit Airlines | 1 stop (FLL) | 12:45 | 16:30 | 180.00
BNA | MCO | Frontier Airlines | Non-stop | 14:30 | 16:55 | 200.00
BNA | MCO | Southwest Airlines | 1 stop (TPA) | 16:15 | 20:00 | 260.00
BNA | MCO | JetBlue Airways | Non-stop | 18:00 | 20:25 | 230.00
BNA | MCO | Alaska Airlines | 1 stop (SDF) | 20:45 | 00:30 | 280.00
MCO | BNA | American Airlines | Non-stop | 07:00 | 08:30 | 210.00
MCO | BNA | Delta Air Lines | 1 stop (JAX) | 09:15 | 12:50 | 240.00
MCO | BNA | United Airlines | Non-stop | 11:30 | 13:00 | 250.00
MCO | BNA | Spirit Airlines | 1 stop (RSW) | 13:45 | 17:20 | 190.00
MCO | BNA | Frontier Airlines | Non-stop | 15:30 | 17:05 | 220.00
MCO | BNA | Southwest Airlines | 1 stop (PBI) | 17:15 | 21:00 | 270.00
MCO | BNA | JetBlue Airways | Non-stop | 19:00 | 20:35 | 240.00
MCO | BNA | Alaska Airlines | 1 stop (CLT) | 21:45 | 01:30 | 290.00


Here are the 16 flight plans:

BNA | TPA | AA | 0 | 06:00 | 09:05 | 198.00
BNA | TPA | DL | 1 (ATL) | 07:30 | 11:45 | 220.50
BNA | TPA | WN | 0 | 09:15 | 12:20 | 185.00
BNA | TPA | UA | 1 (IAD) | 10:00 | 14:10 | 249.00
BNA | TPA | F9 | 0 | 11:45 | 14:50 | 159.00
BNA | TPA | NK | 1 (FLL) | 13:00 | 17:05 | 189.00
BNA | TPA | AS | 0 | 14:30 | 17:35 | 209.00
BNA | TPA | B6 | 1 (JFK) | 16:00 | 20:10 | 229.50

TPA | BNA | AA | 0 | 06:30 | 08:35 | 192.00
TPA | BNA | DL | 1 (ATL) | 08:00 | 12:15 | 235.00
TPA | BNA | WN | 0 | 09:45 | 12:00 | 179.00
TPA | BNA | UA | 1 (ORD) | 11:15 | 15:25 | 259.00
TPA | BNA | F9 | 0 | 12:50 | 15:05 | 169.00
TPA | BNA | NK | 1 (MCO) | 14:20 | 18:25 | 199.00
TPA | BNA | AS | 0 | 15:55 | 18:10 | 219.00
TPA | BNA | B6 | 1 (BOS) | 17:30 | 21:40 | 249.00


Here are the 16 flight plans:

BNA | ANC | AA | 1 (DFW) | 08:00 | 12:30 | 542.50
BNA | ANC | UA | 1 (ORD) | 09:30 | 14:15 | 512.00
BNA | ANC | DL | 1 (ATL) | 10:15 | 15:00 | 525.00
BNA | ANC | WN | 1 (DEN) | 11:00 | 15:45 | 482.00
BNA | ANC | AS | 1 (SEA) | 12:00 | 16:30 | 550.00
BNA | ANC | F9 | 1 (DEN) | 13:30 | 18:15 | 452.00
BNA | ANC | SY | 1 (MSP) | 14:15 | 18:45 | 488.00
BNA | ANC | B6 | 1 (LAX) | 15:00 | 19:30 | 520.00
ANC | BNA | AA | 1 (DFW) | 08:00 | 17:30 | 542.50
ANC | BNA | UA | 1 (SFO) | 09:30 | 19:15 | 512.00
ANC | BNA | DL | 1 (ATL) | 10:15 | 20:00 | 525.00
