

Here are the 16 flight plans:

MSY | MCO | AA | 0 | 06:00 | 08:30 | 198.00
MSY | MCO | DL | 1 (ATL) | 08:15 | 12:45 | 258.00
MSY | MCO | WN | 0 | 10:30 | 13:00 | 220.00
MSY | MCO | UA | 1 (IAH) | 12:00 | 16:30 | 298.00
MSY | MCO | F9 | 0 | 14:45 | 17:15 | 180.00
MSY | MCO | NK | 1 (BWI) | 16:00 | 20:30 | 248.00
MSY | MCO | B6 | 0 | 18:30 | 21:00 | 210.00
MSY | MCO | SY | 1 (TPA) | 20:15 | 00:45 | 268.00
MCO | MSY | AA | 0 | 06:30 | 08:00 | 208.00
MCO | MSY | DL | 1 (ATL) | 09:00 | 13:30 | 278.00
MCO | MSY | WN | 0 | 11:45 | 14:15 | 230.00
MCO | MSY | UA | 1 (IAH) | 14:00 | 18:30 | 308.00
MCO | MSY | F9 | 0 | 16:30 | 19:00 | 190.00
MCO | MSY | NK | 1 (BWI) | 18:00 | 22:30 | 258.00
MCO | MSY | B6 | 0 | 20:15 | 22:45 | 240.00
MCO | MSY | SY | 1 (TPA) | 22:00 | 02:30 | 288.00


Here are the 16 flight plans:

MSY | TPA | AA | Non-stop | 06:00 | 08:15 | 198.00
MSY | TPA | DL | 1 stop (ATL) | 07:30 | 11:45 | 220.00
MSY | TPA | UA | Non-stop | 09:15 | 11:30 | 210.00
MSY | TPA | WN | 1 stop (BHM) | 10:00 | 14:20 | 240.00
MSY | TPA | F9 | Non-stop | 11:45 | 14:00 | 180.00
MSY | TPA | NK | 1 stop (MCO) | 12:30 | 16:50 | 260.00
MSY | TPA | B6 | Non-stop | 14:00 | 16:15 | 200.00
MSY | TPA | SY | 1 stop (PBI) | 15:15 | 19:30 | 280.00
TPA | MSY | AA | Non-stop | 06:30 | 08:45 | 190.00
TPA | MSY | DL | 1 stop (JAX) | 08:00 | 12:15 | 230.00
TPA | MSY | UA | Non-stop | 09:45 | 12:00 | 200.00
TPA | MSY | WN | 1 stop (PNS) | 10:30 | 14:50 | 250.00
TPA | MSY | F9 | Non-stop | 12:00 | 14:15 | 170.00
TPA | MSY | NK | 1 stop (FLL) | 13:15 | 17:35 | 270.00
TPA | MSY | B6 | Non-stop | 14:30 | 16:45 | 210.00
TPA | MSY | SY | 1 stop (RSW) | 15:45 | 20:00 | 290.00


Here are the 16 flight plans:

MSY | ANC | American Airlines | 1 (DFW) | 08:00 | 18:35 | 542.00
MSY | ANC | Delta Air Lines | 2 (ATL, SEA) | 09:15 | 21:50 | 628.00
MSY | ANC | United Airlines | 1 (IAH) | 10:30 | 20:05 | 582.00
MSY | ANC | Alaska Airlines | Non-stop | 11:45 | 19:20 | 508.00
MSY | ANC | Spirit Airlines | 2 (FLL, LAX) | 12:00 | 23:30 | 448.00
MSY | ANC | Frontier Airlines | 1 (DEN) | 13:15 | 22:45 | 478.00
MSY | ANC | JetBlue Airways | 1 (JFK) | 14:30 | 23:59 | 518.00
MSY | ANC | Southwest Airlines | 1 (DAL) | 15:45 | 01:10 | 538.00
ANC | MSY | American Airlines | 1 (PHX) | 06:00 | 17:35 | 562.00
ANC | MSY | Delta Air Lines | 2 (SFO, ATL) | 07:15 | 20:50 | 648.00
ANC | MSY | United Airlines | 1 (SFO) | 08:30 | 19:05 | 592.00
ANC | MSY | Alaska Airlines | Non-stop | 09:45 | 18:20 | 528.00
ANC | MSY | Spirit Airlines | 2 (LAX, DFW) | 10:00 | 22:30 | 468.00
ANC | MSY | Frontier Airlines | 1 (DEN) | 11:15 | 21:45 | 498.00
ANC | MSY | JetBlue Airways | 1 (JFK) | 12:30 | 22:59 | 548.00
ANC | MSY | Southwest Airlines | 1 (DAL) | 13:45 | 00:10 | 568.00


Here are the 16 flight plans:

MSY | SJU | American Airlines | Non-stop | 08:00 | 11:15 | 450.00
MSY | SJU | Delta Air Lines | 1 stop (MIA) | 09:30 | 13:45 | 520.00
MSY | SJU | United Airlines | Non-stop | 10:15 | 13:30 | 480.00
MSY | SJU | JetBlue Airways | 1 stop (FLL) | 11:00 | 15:20 | 550.00
MSY | SJU | Spirit Airlines | 1 stop (TPA) | 12:30 | 16:45 | 400.00
MSY | SJU | Frontier Airlines | Non-stop | 13:45 | 17:00 | 420.00
MSY | SJU | Southwest Airlines | 1 stop (HOU) | 14:15 | 18:30 | 500.00
MSY | SJU | Alaska Airlines | 1 stop (IAH) | 15:00 | 19:15 | 580.00
SJU | MSY | American Airlines | Non-stop | 08:00 | 10:15 | 420.00
SJU | MSY | Delta Air Lines | 1 stop (ATL) | 09:30 | 12:45 | 500.00
