

Here are the 16 flight plans:

JFK | LAX | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
JFK | LAX | Delta Air Lines | 1 stop (SFO) | 09:15 | 13:45 | 475.00
JFK | LAX | United Airlines | Non-stop | 10:30 | 14:00 | 450.00
JFK | LAX | JetBlue Airways | 1 stop (DEN) | 11:45 | 16:15 | 520.00
JFK | LAX | Alaska Airlines | Non-stop | 13:00 | 16:30 | 480.00
JFK | LAX | Spirit Airlines | 1 stop (ORD) | 14:15 | 19:45 | 550.00
JFK | LAX | Frontier Airlines | 1 stop (MIA) | 15:30 | 21:00 | 580.00
JFK | LAX | Hawaiian Airlines | Non-stop | 17:00 | 20:30 | 500.00
LAX | JFK | American Airlines | Non-stop | 08:30 | 17:00 | 450.00
LAX | JFK | Delta Air Lines | 1 stop (ATL) | 09:45 | 19:15 | 525.00
LAX | JFK | United Airlines | Non-stop | 11:00 | 19:30 | 480.00
LAX | JFK | JetBlue Airways | 1 stop (BOS) | 12:15 | 21:45 | 570.00
LAX | JFK | Alaska Airlines | Non-stop | 13:30 | 22:00 | 505.00
LAX | JFK | Spirit Airlines | 1 stop (DFW) | 14:45 | 00:15 | 600.00
LAX | JFK | Frontier Airlines | 1 stop (PHX) | 16:00 | 02:30 | 630.00
LAX | JFK | Hawaiian Airlines | Non-stop | 17:30 | 04:00 | 530.00


Here are the 16 flight plans:

JFK | ORD | AA | 0 | 06:00 | 08:30 | 250.00
JFK | ORD | UA | 1 (EWR) | 08:00 | 11:45 | 320.00
JFK | ORD | DL | 0 | 10:00 | 12:30 | 280.00
JFK | ORD | WN | 1 (BWI) | 12:00 | 15:15 | 350.00
JFK | ORD | AS | 0 | 14:00 | 16:30 | 290.00
JFK | ORD | B6 | 1 (BOS) | 16:00 | 19:15 | 330.00
JFK | ORD | F9 | 0 | 18:00 | 20:30 | 260.00
JFK | ORD | NK | 1 (DTW) | 20:00 | 23:15 | 380.00
ORD | JFK | AA | 0 | 07:00 | 10:30 | 270.00
ORD | JFK | UA | 1 (CLE) | 09:00 | 12:45 | 340.00
ORD | JFK | DL | 0 | 11:00 | 13:30 | 300.00
ORD | JFK | WN | 1 (STL) | 13:00 | 16:15 | 360.00
ORD | JFK | AS | 0 | 15:00 | 17:30 | 310.00
ORD | JFK | B6 | 1 (PIT) | 17:00 | 20:15 | 350.00
ORD | JFK | F9 | 0 | 19:00 | 21:30 | 280.00
ORD | JFK | NK | 1 (CMH) | 21:00 | 00:15 | 390.00


Here are the 16 flight plans:

JFK | MDW | American Airlines | Non-stop | 08:00 | 10:05 | 250.00
JFK | MDW | Delta Air Lines | Non-stop | 10:30 | 12:35 | 220.00
JFK | MDW | United Airlines | 1 stop (ORD) | 12:00 | 15:25 | 300.00
