

Here are the 16 flight plans:

PHL | SFO | AA | 0 | 08:00 | 11:15 | 425.00
PHL | SFO | UA | 1 (DEN) | 09:30 | 13:45 | 495.00
PHL | SFO | WN | 0 | 10:45 | 14:00 | 375.00
PHL | SFO | DL | 1 (ATL) | 12:15 | 17:30 | 525.00
PHL | SFO | AS | 0 | 13:30 | 16:45 | 450.00
PHL | SFO | B6 | 1 (JFK) | 14:45 | 19:00 | 505.00
PHL | SFO | F9 | 0 | 16:00 | 19:15 | 395.00
PHL | SFO | NK | 1 (ORD) | 17:15 | 21:30 | 475.00

SFO | PHL | UA | 0 | 08:30 | 16:45 | 450.00
SFO | PHL | AA | 1 (DFW) | 09:45 | 18:00 | 520.00
SFO | PHL | WN | 0 | 11:00 | 19:15 | 425.00
SFO | PHL | DL | 1 (MSP) | 12:30 | 20:45 | 550.00
SFO | PHL | AS | 0 | 13:45 | 21:00 | 480.00
SFO | PHL | B6 | 1 (BOS) | 15:00 | 22:15 | 535.00
SFO | PHL | F9 | 0 | 16:15 | 23:30 | 440.00
SFO | PHL | NK | 1 (LAS) | 17:30 | 00:45 | 510.00


Here are the 16 flight plans:

PHL | CLT | AA | 0 | 06:00 | 08:15 | 198.00
PHL | CLT | UA | 1 (EWR) | 07:30 | 10:45 | 220.00
PHL | CLT | WN | 0 | 09:15 | 11:30 | 185.00
PHL | CLT | DL | 1 (ATL) | 11:00 | 14:15 | 250.00
PHL | CLT | F9 | 0 | 12:45 | 15:00 | 160.00
PHL | CLT | AA | 1 (BWI) | 14:30 | 17:45 | 230.00
PHL | CLT | UA | 0 | 16:15 | 18:30 | 200.00
PHL | CLT | WN | 1 (PIT) | 18:00 | 21:15 | 240.00
CLT | PHL | AA | 0 | 06:30 | 08:45 | 190.00
CLT | PHL | DL | 1 (RDU) | 08:00 | 11:15 | 210.00
CLT | PHL | WN | 0 | 09:45 | 12:00 | 170.00
CLT | PHL | UA | 1 (IAD) | 11:30 | 14:45 | 240.00
CLT | PHL | F9 | 0 | 13:15 | 15:30 | 150.00
CLT | PHL | AA | 1 (BOS) | 14:45 | 17:00 | 260.00
CLT | PHL | UA | 0 | 16:30 | 18:45 | 210.00
CLT | PHL | WN | 1 (ORF) | 18:30 | 21:45 | 250.00


PHL | BOS | American Airlines | Non-stop | 06:00 | 07:30 | 150.00
PHL | BOS | Delta Air Lines | 1 stop (JFK) | 08:15 | 11:45 | 220.00
PHL | BOS | United Airlines | Non-stop | 10:00 | 11:30 | 180.00
PHL | BOS | JetBlue Airways | Non-stop | 12:30 | 14:00 | 200.00
PHL | BOS | Spirit Airlines | 1 stop (EWR) | 14:45 | 18:15 | 250.00
PHL | BOS | Frontier Airlines | Non-stop | 16:00 | 17:30 | 190.00
PHL | BOS | Southwest Airlines | 1 stop (BWI) | 18:15 | 21:45 | 280.00
PHL | BOS | Alaska Airlines | Non-stop | 20:00 | 21:30 | 210.00
BOS | PHL | American Airlines | Non-stop | 06:30 | 08:00 | 160.00
BOS | PHL | Delta Air Lines | 1 stop (LGA) | 08:45 | 12:15 | 240.00
BOS | PHL | United Airlines | Non-stop | 11:00 | 12:30 | 200.00
BOS | PHL | JetBlue Airways | Non-stop | 13:30 | 15:00 | 220.00
BOS | PHL | Spirit Airlines | 1 stop (MCO) | 15:45 | 19:15 | 290.00
BOS | PHL | Frontier Airlines | Non-stop | 17:00 | 18:30 | 230.00
BOS | PHL | Southwest Airlines | 1 stop (PIT) | 19:15 | 22:45 | 310.00
BOS | PHL | Alaska Airlines | Non-stop | 21:00 | 22:30 | 250.00


Here are the 16 flight plans:

PHL | SEA | American Airlines | Non-stop | 08:00 | 11:15 | 450.00
PHL | SEA | Delta Air Lines | 1 stop (SFO) | 09:30 | 13:45 | 520.00
PHL | SEA | United Airlines | Non-stop | 10:45 | 14:00 | 480.00
PHL | SEA | Alaska Airlines | 1 stop (PDX) | 12:00 | 16:15 | 500.00
PHL | SEA | Spirit Airlines | 1 stop (LAX) | 13:15 | 17:30 | 380.00
PHL | SEA | Frontier Airlines | 1 stop (DEN) | 14:30 | 18:45 | 420.00
PHL | SEA | JetBlue Airways | Non-stop | 15:45 | 19:00 | 550.00
PHL | SEA | Southwest Airlines | 1 stop (MDW) | 17:00 | 21:15 | 400.00

SEA | PHL | American Airlines | Non-stop | 08:30 | 16:45 | 520.00
SEA | PHL | Delta Air Lines | 1 stop (ATL) | 09:45 | 18:00 | 580.00
SEA | PHL | United Airlines | Non-stop | 11:00 | 19:15 | 500.00
SEA | PHL | Alaska Airlines | 1 stop (SFO) | 12:15 | 20:30 | 480.00
SEA | PHL | Spirit Airlines | 1 stop (ORD) | 13:30 | 21:45 | 420.00
SEA | PHL | Frontier Airlines | 1 stop (DEN) | 14:45 | 23:00 | 440.00
