

Here are the 16 flight plans:

SFO | CLT | AA | 0 | 08:00 | 17:15 | 425.00
SFO | CLT | UA | 1 (DEN) | 09:30 | 19:45 | 475.00
SFO | CLT | DL | 0 | 11:15 | 20:30 | 395.00
SFO | CLT | WN | 1 (PHX) | 12:45 | 22:00 | 445.00
SFO | CLT | AS | 0 | 14:00 | 23:15 | 415.00
SFO | CLT | B6 | 1 (JFK) | 15:30 | 00:45 | 505.00
SFO | CLT | F9 | 0 | 17:00 | 02:15 | 375.00
SFO | CLT | NK | 1 (ORD) | 18:30 | 04:45 | 455.00
CLT | SFO | AA | 0 | 08:00 | 11:15 | 395.00
CLT | SFO | UA | 1 (IAH) | 09:30 | 13:45 | 445.00
CLT | SFO | DL | 0 | 11:15 | 15:30 | 425.00
CLT | SFO | WN | 1 (DAL) | 12:45 | 17:00 | 475.00
CLT | SFO | AS | 0 | 14:00 | 18:15 | 405.00
CLT | SFO | B6 | 1 (BOS) | 15:30 | 20:45 | 505.00
CLT | SFO | F9 | 0 | 17:00 | 21:15 | 365.00
CLT | SFO | NK | 1 (MSP) | 18:30 | 23:45 | 455.00


Here are the 16 flight plans:

SFO | BOS | AA | 0 | 08:00 | 17:30 | 450.00
SFO | BOS | UA | 1 (EWR) | 09:30 | 19:15 | 520.00
SFO | BOS | DL | 0 | 11:00 | 20:00 | 480.00
SFO | BOS | WN | 1 (MDW) | 12:30 | 21:45 | 550.00
SFO | BOS | AS | 0 | 14:00 | 22:30 | 500.00
SFO | BOS | B6 | 1 (JFK) | 15:30 | 00:15 | 580.00
SFO | BOS | F9 | 1 (DEN) | 17:00 | 01:30 | 610.00
SFO | BOS | NK | 1 (ORD) | 19:00 | 03:15 | 640.00
BOS | SFO | AA | 0 | 06:00 | 09:30 | 420.00
BOS | SFO | UA | 1 (IAD) | 08:30 | 12:15 | 490.00
BOS | SFO | DL | 0 | 10:00 | 13:30 | 460.00
BOS | SFO | WN | 1 (BWI) | 11:30 | 15:45 | 510.00
BOS | SFO | AS | 0 | 13:00 | 16:30 | 480.00
BOS | SFO | B6 | 1 (LAX) | 14:30 | 18:15 | 530.00
BOS | SFO | F9 | 1 (MCO) | 16:00 | 20:30 | 560.00
BOS | SFO | NK | 1 (PHL) | 17:30 | 22:15 | 590.00


Here are the 16 flight plans:

SFO | SEA | Alaska Airlines | Non-stop | 06:00 | 08:05 | 198.00
SFO | SEA | Delta Air Lines | Non-stop | 08:30 | 10:35 | 220.00
SFO | SEA | United Airlines | 1 stop (DEN) | 09:15 | 12:50 | 240.00
SFO | SEA | American Airlines | 1 stop (PHX) | 10:00 | 14:20 | 280.00
SFO | SEA | Southwest Airlines | Non-stop | 11:30 | 13:35 | 200.00
