

Here are the 16 flight plans:

SEA | DEN | Alaska Airlines | Non-stop | 06:00 | 09:35 | 250.00
SEA | DEN | Delta Air Lines | 1 stop (SFO) | 07:15 | 11:45 | 320.00
SEA | DEN | United Airlines | Non-stop | 08:30 | 12:05 | 280.00
SEA | DEN | American Airlines | 1 stop (PHX) | 09:45 | 14:20 | 350.00
SEA | DEN | Southwest Airlines | Non-stop | 11:00 | 14:35 | 220.00
SEA | DEN | Frontier Airlines | 1 stop (LAS) | 12:15 | 16:50 | 300.00
SEA | DEN | Spirit Airlines | 1 stop (ORD) | 13:30 | 18:05 | 330.00
SEA | DEN | JetBlue Airways | Non-stop | 14:45 | 18:20 | 290.00
DEN | SEA | United Airlines | Non-stop | 06:00 | 07:35 | 260.00
DEN | SEA | Delta Air Lines | 1 stop (MSP) | 07:15 | 11:45 | 340.00
DEN | SEA | American Airlines | Non-stop | 08:30 | 10:05 | 300.00
DEN | SEA | Alaska Airlines | 1 stop (SJC) | 09:45 | 13:20 | 320.00
DEN | SEA | Frontier Airlines | Non-stop | 11:00 | 12:35 | 230.00
DEN | SEA | Spirit Airlines | 1 stop (DFW) | 12:15 | 16:50 | 360.00
DEN | SEA | Southwest Airlines | Non-stop | 13:30 | 15:05 | 240.00
DEN | SEA | JetBlue Airways | 1 stop (LAX) | 14:45 | 18:20 | 310.00


Here are the 16 flight plans:

SEA | BNA | Alaska Airlines | Non-stop | 08:00 | 15:30 | 425.00
SEA | BNA | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:15 | 475.00
SEA | BNA | American Airlines | 1 stop (ORD) | 11:00 | 19:45 | 505.00
SEA | BNA | United Airlines | Non-stop | 13:30 | 21:00 | 450.00
SEA | BNA | Southwest Airlines | 1 stop (DEN) | 14:45 | 22:30 | 525.00
SEA | BNA | Frontier Airlines | 1 stop (LAS) | 16:00 | 23:45 | 495.00
SEA | BNA | Spirit Airlines | 1 stop (IAH) | 17:30 | 01:15 | 465.00
SEA | BNA | JetBlue Airways | Non-stop | 19:00 | 02:30 | 440.00
BNA | SEA | Alaska Airlines | Non-stop | 06:00 | 09:30 | 395.00
BNA | SEA | Delta Air Lines | 1 stop (SFO) | 08:30 | 12:15 | 520.00
BNA | SEA | American Airlines | 1 stop (DFW) | 10:00 | 14:45 | 550.00
