

Here are the 16 flight plans:

TPA | ANC | AA | 1 (DFW) | 08:00 | 14:30 | 542.50
TPA | ANC | UA | 2 (IAH, SFO) | 09:30 | 18:45 | 623.00
TPA | ANC | DL | 1 (ATL) | 11:15 | 19:20 | 598.75
TPA | ANC | WN | 2 (BNA, DEN) | 12:45 | 21:10 | 678.50
TPA | ANC | AS | 1 (SEA) | 13:30 | 20:50 | 638.25
TPA | ANC | F9 | 2 (DEN, PDX) | 14:15 | 22:35 | 718.00
TPA | ANC | NK | 1 (ORD) | 15:00 | 22:20 | 698.75
TPA | ANC | B6 | 2 (JFK, LAX) | 16:30 | 00:45 | 758.50

ANC | TPA | AA | 1 (DFW) | 08:30 | 19:00 | 572.50
ANC | TPA | UA | 2 (SFO, IAH) | 09:45 | 21:10 | 653.00
ANC | TPA | DL | 1 (ATL) | 11:00 | 20:25 | 628.75
ANC | TPA | WN | 2 (DEN, BNA) | 12:30 | 22:55 | 708.50
ANC | TPA | AS | 1 (SEA) | 13:15 | 21:40 | 668.25
ANC | TPA | F9 | 2 (PDX, DEN) | 14:00 | 23:20 | 738.00
ANC | TPA | NK | 1 (ORD) | 15:15 | 23:40 | 728.75
ANC | TPA | B6 | 2 (LAX, JFK) | 16:45 | 01:10 | 778.50


Here are the 16 flight plans:

TPA | SJU | AA | Non-stop | 08:00 | 10:30 | 250.00
TPA | SJU | UA | 1 stop (MIA) | 09:15 | 12:45 | 280.00
TPA | SJU | DL | Non-stop | 10:30 | 13:00 | 220.00
TPA | SJU | WN | 1 stop (FLL) | 11:45 | 15:15 | 240.00
TPA | SJU | B6 | Non-stop | 13:00 | 15:30 | 200.00
TPA | SJU | AS | 1 stop (PBI) | 14:15 | 17:45 | 260.00
TPA | SJU | F9 | 1 stop (ATL) | 15:30 | 19:00 | 230.00
TPA | SJU | NK | Non-stop | 17:00 | 19:30 | 210.00
SJU | TPA | AA | Non-stop | 08:30 | 11:00 | 270.00
SJU | TPA | UA | 1 stop (EWR) | 09:45 | 13:15 | 300.00
SJU | TPA | DL | Non-stop | 11:00 | 13:30 | 240.00
SJU | TPA | WN | 1 stop (BWI) | 12:15 | 15:45 | 260.00
SJU | TPA | B6 | Non-stop | 13:30 | 16:00 | 220.00
SJU | TPA | AS | 1 stop (CLT) | 14:45 | 18:15 | 280.00
SJU | TPA | F9 | 1 stop (MCO) | 16:00 | 19:30 | 250.00
SJU | TPA | NK | Non-stop | 17:30 | 20:00 | 230.00


TPA | BHB | American Airlines | 0 | 08:00 | 10:30 | 250.00
TPA | BHB | Delta Air Lines | 1 (ATL) | 09:15 | 12:45 | 320.00
TPA | BHB | United Airlines | 0 | 11:00 | 13:30 | 280.00
TPA | BHB | JetBlue Airways | 1 (FLL) | 12:45 | 16:15 | 350.00
TPA | BHB | Spirit Airlines | 0 | 14:30 | 17:00 | 220.00
TPA | BHB | Frontier Airlines | 1 (MCO) | 15:45 | 19:15 | 300.00
TPA | BHB | Southwest Airlines | 0 | 17:00 | 19:30 | 240.00
TPA | BHB | Alaska Airlines | 1 (PBI) | 18:15 | 21:45 | 330.00
BHB | TPA | American Airlines | 0 | 08:30 | 11:00 | 260.00
BHB | TPA | Delta Air Lines | 1 (BOS) | 09:45 | 13:15 | 340.00
BHB | TPA | United Airlines | 0 | 11:30 | 14:00 | 290.00
BHB | TPA | JetBlue Airways | 1 (JFK) | 12:15 | 15:45 | 360.00
BHB | TPA | Spirit Airlines | 0 | 13:45 | 16:15 | 230.00
BHB | TPA | Frontier Airlines | 1 (EWR) | 15:00 | 18:30 | 310.00
BHB | TPA | Southwest Airlines | 0 | 16:30 | 19:00 | 250.00
BHB | TPA | Alaska Airlines | 1 (RDU) | 17:45 | 21:15 | 350.00


