

IAD | MIA | AA | 0 | 06:00 | 09:30 | 250.00
IAD | MIA | UA | 1 (CLT) | 07:30 | 11:15 | 320.00
IAD | MIA | DL | 0 | 09:00 | 12:30 | 280.00
IAD | MIA | WN | 1 (BWI) | 10:30 | 14:15 | 350.00
IAD | MIA | AS | 0 | 12:00 | 15:30 | 300.00
IAD | MIA | B6 | 1 (JFK) | 13:30 | 17:15 | 380.00
IAD | MIA | NK | 0 | 15:00 | 18:30 | 260.00
IAD | MIA | F9 | 1 (ATL) | 16:30 | 20:15 | 330.00
MIA | IAD | AA | 0 | 06:00 | 09:30 | 250.00
MIA | IAD | UA | 1 (EWR) | 07:30 | 11:15 | 320.00
MIA | IAD | DL | 0 | 09:00 | 12:30 | 280.00
MIA | IAD | WN | 1 (TPA) | 10:30 | 14:15 | 350.00
MIA | IAD | AS | 0 | 12:00 | 15:30 | 300.00
MIA | IAD | B6 | 1 (BOS) | 13:30 | 17:15 | 380.00
MIA | IAD | NK | 0 | 15:00 | 18:30 | 260.00
MIA | IAD | F9 | 1 (CMH) | 16:30 | 20:15 | 330.00


Here are the 16 flight plans:

IAD | LAS | UA | 0 | 08:00 | 10:30 | 350.00
IAD | LAS | AA | 1 (ORD) | 09:30 | 12:45 | 420.00
IAD | LAS | WN | 0 | 10:15 | 12:45 | 280.00
IAD | LAS | DL | 1 (ATL) | 11:00 | 14:20 | 450.00
IAD | LAS | F9 | 0 | 12:00 | 14:30 | 220.00
IAD | LAS | AS | 1 (SEA) | 13:30 | 16:50 | 480.00
IAD | LAS | UA | 0 | 14:45 | 17:15 | 300.00
IAD | LAS | B6 | 1 (JFK) | 16:00 | 19:25 | 400.00
LAS | IAD | WN | 0 | 08:00 | 14:30 | 250.00
LAS | IAD | AA | 1 (DFW) | 09:30 | 16:45 | 380.00
LAS | IAD | DL | 0 | 10:15 | 16:45 | 320.00
LAS | IAD | UA | 1 (SFO) | 11:00 | 18:20 | 420.00
LAS | IAD | F9 | 0 | 12:00 | 18:30 | 280.00
LAS | IAD | AS | 1 (PDX) | 13:30 | 20:50 | 450.00
LAS | IAD | B6 | 0 | 14:45 | 20:15 | 300.00
LAS | IAD | WN | 1 (DEN) | 16:00 | 22:25 | 380.00


Here are the 16 flight plans:

IAD | MSY | AA | 0 | 06:00 | 08:15 | 219.00
IAD | MSY | UA | 1 (EWR) | 07:30 | 10:45 | 289.00
IAD | MSY | DL | 0 | 09:00 | 11:20 | 249.00
IAD | MSY | WN | 1 (BWI) | 10:15 | 13:30 | 269.00
IAD | MSY | AS | 0 | 11:45 | 14:05 | 229.00
IAD | MSY | F9 | 1 (CLT) | 12:30 | 15:45 | 199.00
IAD | MSY | B6 | 0 | 14:00 | 16:20 | 239.00
IAD | MSY | NK | 1 (PHL) | 15:15 | 18:30 | 209.00
MSY | IAD | AA | 0 | 06:30 | 09:45 | 249.00
MSY | IAD | UA | 1 (IAH) | 08:00 | 11:15 | 319.00
MSY | IAD | DL | 0 | 09:30 | 12:50 | 279.00
MSY | IAD | WN | 1 (HOU) | 10:45 | 14:00 | 299.00
MSY | IAD | AS | 0 | 12:00 | 15:20 | 259.00
MSY | IAD | F9 | 1 (ATL) | 13:15 | 16:30 | 229.00
MSY | IAD | B6 | 0 | 14:30 | 17:50 | 289.00
MSY | IAD | NK | 1 (MCO) | 15:45 | 19:00 | 249.00


IAD | MCO | American Airlines | Non-stop | 06:00 | 08:45 | 198.00
IAD | MCO | Delta Air Lines | Non-stop | 08:15 | 11:00 | 220.00
